source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,10.20,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.20,Ammonia,#000ECD,TWh
Imp. Methanol RE,Methanol,38.82,Methanol,#CC0066,TWh
Wood,Gasifi. to Methanol,22.80,Wood,#CD853F,TWh
Gasifi. to Methanol,Elec,0.45,Electricity,#00BFFF,TWh
Gasifi. to Methanol,DHN,4.99,DHN,#FA8072,TWh
Gasifi. to Methanol,Methanol,14.06,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.54,Methanol,#CC0066,TWh
Methanol,MTO,51.34,Methanol,#CC0066,TWh
Heat HT,MTO,13.65,Heat HT,#DC143C,TWh
MTO,HVC,41.36,HVC,#00FFFF,TWh
HVC,Non-energy demand,41.36,HVC,#00FFFF,TWh
Imp. Bio-diesel,Diesel,17.31,Diesel,#D3D3D3,TWh
Diesel,Freight,17.31,Diesel,#D3D3D3,TWh
Imp. Gas,Gas,45.12,Gas,#FFD700,TWh
Imp. Gas RE,Gas,72.46,Gas,#FFD700,TWh
Gas Prod,Gas sto.,35.62,GAS,#FFD700,TWh
Gas sto.,Gas,34.91,GAS,#FFD700,TWh
Gas Prod,Gas,-19.16,GAS,#FFD700,TWh
Gas,Mob public,5.82,GAS,#FFD700,TWh
Gas,Freight,12.86,GAS,#FFD700,TWh
Gas,Elec,24.95,GAS,#FFD700,TWh
Gas,CHP,89.88,GAS,#FFD700,TWh
Electricity,Elec,27.60,Electricity,#00BFFF,TWh
Wind,Elec,42.05,Wind,#27AE34,TWh
Hydro River,Elec,0.47,Hydro River,#0000FF,TWh
Solar,Elec,61.53,Solar,#FFFF00,TWh
Waste,Boilers,17.80,Waste,#808000,TWh
Wood,Boilers,0.60,Wood,#CD853F,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,16.45,GAS,#FFD700,TWh
Biomethanation,Elec,1.56,Electricity,#00BFFF,TWh
Elec,Mob priv,18.92,Electricity,#00BFFF,TWh
Elec,Mob public,5.59,Electricity,#00BFFF,TWh
Elec,Freight,1.88,Electricity,#00BFFF,TWh
Elec,Exp & Loss,8.79,Electricity,#00BFFF,TWh
Elec,Curt.,0.88,Electricity,#00BFFF,TWh
Elec,Elec demand,91.08,Electricity,#00BFFF,TWh
Solar,Curt.,0.94,Solar,#FFFF00,TWh
Wind,Curt.,0.91,Wind,#27AE34,TWh
Elec,Storage,1.21,Electricity,#00BFFF,TWh
Storage,Elec demand,0.90,Electricity,#00BFFF,TWh
Elec,HPs,48.16,Electricity,#00BFFF,TWh
Elec,HT sto,6.40,Electricity,#00BFFF,TWh
HT sto,Heat HT,6.37,Heat HT,#DC143C,TWh
Elec,Heat HT,1.75,Electricity,#00BFFF,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,-0.00,H2,#FF00FF,TWh
CHP,Elec,39.17,Electricity,#00BFFF,TWh
CHP,Heat HT,40.96,Heat HT,#DC143C,TWh
HPs,Dec. sto,23.31,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,71.34,Heat LT,#FA8072,TWh
HPs,DHN,52.77,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,21.46,Heat LT,#FA8072,TWh
Boilers,Heat HT,14.97,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,36.64,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.89,Heat LT,#FA8072,TWh
DHN,DHN Sto,18.23,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,17.86,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,50.40,Heat HT,#DC143C,TWh
